id,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
011001,3838,35,26,307,84,137,1485,12,203,235,24,12,4,258,44,200,954
011002,5956,33,18,405,111,158,2032,7,157,246,16,4,3,393,108,172,1011
011003,15765,154,93,1414,454,434,6376,41,621,744,77,56,13,1298,316,857,3222
011004,3400,42,23,259,63,84,1479,19,239,362,32,31,15,428,102,126,672
012005,6032,48,29,567,169,227,1913,39,300,388,69,50,13,567,99,521,1349
012006,9554,65,38,730,182,279,3184,31,259,437,72,45,15,577,76,555,1781
013007,5591,78,43,632,196,242,2285,50,341,219,43,27,11,478,98,213,1331
013008,6204,72,38,693,239,223,2343,58,358,261,63,37,10,635,206,332,1512
014009,5490,56,31,628,180,294,2094,39,467,233,54,39,8,496,45,197,1390
014010,7655,126,75,888,289,382,2678,30,434,408,48,43,12,693,161,562,2004
019900,2700,41,34,207,66,118,1148,18,257,104,2,10,4,145,27,88,569
021001,8988,133,68,668,260,245,3533,32,647,406,57,80,28,706,114,929,1750
022002,9963,113,70,785,260,287,4592,66,823,728,61,51,25,912,175,498,2108
023003,4555,82,51,381,133,115,2104,15,382,260,36,39,20,401,68,484,903
023004,7984,164,124,499,226,122,2645,10,685,491,37,41,14,512,100,1581,1368
024005,2563,28,19,222,49,92,1186,16,162,206,26,18,6,319,52,63,618
024006,5915,61,37,492,148,156,2418,20,199,331,18,21,8,482,105,387,1099
025007,4028,26,13,344,110,125,1606,22,117,254,33,60,16,639,142,108,963
025008,7360,73,40,687,180,217,2722,27,261,552,41,45,12,1131,310,611,1701
029900,1473,34,28,84,31,44,768,15,167,92,1,9,4,103,15,110,241
031001,2035,18,9,204,59,85,821,4,89,106,27,22,3,209,55,35,395
032002,1640,12,6,98,26,62,705,25,84,133,45,19,6,206,23,28,336
032003,835,5,0,77,12,34,346,12,52,56,35,4,2,107,12,10,185
033004,906,4,4,71,16,34,413,5,31,129,35,7,2,97,11,14,168
